user_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
247,26,1,2612.8,4,1,1,411,Potential Loyalist
248,50,3,24268.2,3,4,4,344,Loyal
250,102,1,1532.8,2,1,1,211,At Risk
251,103,2,19368.6,2,3,3,233,At Risk
253,4,1,593.0,5,1,1,511,Potential Loyalist
254,39,2,11426.8,4,3,3,433,Potential Loyalist
255,81,2,42860.5,3,3,4,334,Others
256,47,3,6694.8,4,4,2,442,Loyal
257,95,1,2918.4,2,1,1,211,At Risk
258,127,1,161812.8,1,1,5,115,At Risk
259,37,2,10212.349999999999,4,3,3,433,Potential Loyalist
260,86,3,146064.1,3,4,5,345,Loyal
261,86,3,305113.8,3,4,5,345,Loyal
262,127,1,1020.6,1,1,1,111,At Risk
263,151,1,3896.9,1,1,2,112,At Risk
264,105,6,24391.0,2,5,4,254,Loyal
265,112,1,23302.0,1,1,4,114,At Risk
266,13,3,12891.900000000001,5,4,3,543,Loyal
267,41,4,192857.4,4,5,5,455,Loyal
268,17,2,881.6,5,3,1,531,Potential Loyalist
269,134,1,6691.8,1,1,2,112,At Risk
270,14,6,66857.55,5,5,4,554,Champions
271,23,9,406449.85000000003,4,5,5,455,Loyal
272,22,5,100029.79999999999,5,5,5,555,Champions
273,103,1,22014.15,2,1,3,213,At Risk
274,23,1,8461.6,4,1,2,412,Potential Loyalist
275,107,1,4060.3,2,1,2,212,At Risk
276,26,6,141545.95,4,5,5,455,Loyal
277,36,1,1550.4,4,1,1,411,Potential Loyalist
278,77,2,12140.3,3,3,3,333,Others
281,77,3,12677.1,3,4,3,343,Loyal
282,84,3,73222.9,3,4,4,344,Loyal
286,123,1,110575.8,1,1,5,115,At Risk
288,67,1,1272.05,3,1,1,311,Others
290,69,1,1827.5,3,1,1,311,Others
291,119,3,64111.950000000004,1,4,4,144,Loyal
293,133,2,12015.15,1,3,3,133,At Risk
295,20,1,7388.2,5,1,2,512,Potential Loyalist
296,44,1,1033.6,4,1,1,411,Potential Loyalist
297,82,3,16113.3,3,4,3,343,Loyal
298,130,1,131962.6,1,1,5,115,At Risk
300,10,3,159810.25,5,4,5,545,Champions
302,102,2,3492.0,2,3,1,231,At Risk
303,135,2,8350.8,1,3,2,132,At Risk
304,32,1,2760.7,4,1,1,411,Potential Loyalist
305,39,4,146128.2,4,5,5,455,Loyal
307,104,2,13424.4,2,3,3,233,At Risk
308,23,2,17878.5,4,3,3,433,Potential Loyalist
310,129,1,71427.6,1,1,4,114,At Risk
311,71,2,16193.7,3,3,3,333,Others
312,105,1,161812.8,2,1,5,215,At Risk
314,33,1,3683.9,4,1,2,412,Potential Loyalist
315,11,4,10014.3,5,5,3,553,Loyal
316,49,1,1493.0,4,1,1,411,Potential Loyalist
317,41,2,11424.45,4,3,3,433,Potential Loyalist
318,67,1,692.8,3,1,1,311,Others
320,69,1,50309.0,3,1,4,314,Others
321,154,1,1341.4,1,1,1,111,At Risk
322,95,1,6691.8,2,1,2,212,At Risk
323,104,3,79835.2,2,4,5,245,Loyal
324,72,1,12818.0,3,1,3,313,Others
325,50,4,26081.3,3,5,4,354,Loyal
326,69,1,3650.85,3,1,1,311,Others
328,146,2,210460.8,1,3,5,135,At Risk
329,103,2,17042.7,2,3,3,233,At Risk
330,27,2,7824.6,4,3,2,432,Potential Loyalist
331,71,2,5894.4,3,3,2,332,Others
332,103,2,11860.0,2,3,3,233,At Risk
333,30,10,227848.7,4,5,5,455,Loyal
335,14,5,75481.05,5,5,4,554,Champions
336,113,3,15964.2,1,4,3,143,Loyal
338,32,8,272141.6,4,5,5,455,Loyal
339,47,2,3172.6000000000004,4,3,1,431,Potential Loyalist
340,40,1,2616.3,4,1,1,411,Potential Loyalist
341,15,2,62532.0,5,3,4,534,Potential Loyalist
342,20,7,179314.55,5,5,5,555,Champions
343,6,5,233646.3,5,5,5,555,Champions
344,54,1,980.4,3,1,1,311,Others
346,132,1,9676.8,1,1,2,112,At Risk
348,42,4,143278.15,4,5,5,455,Loyal
349,94,3,11363.8,2,4,3,243,Loyal
350,70,1,41062.65,3,1,4,314,Others
351,6,5,106760.1,5,5,5,555,Champions
352,107,1,111261.6,2,1,5,215,At Risk
353,103,1,26181.6,2,1,4,214,At Risk
354,29,2,6181.9,4,3,2,432,Potential Loyalist
355,12,3,184012.19999999998,5,4,5,545,Champions
356,47,2,5789.599999999999,4,3,2,432,Potential Loyalist
357,54,1,12393.6,3,1,3,313,Others
359,61,3,45278.85,3,4,4,344,Loyal
360,94,2,2918.8,2,3,1,231,At Risk
361,110,1,35311.2,1,1,4,114,At Risk
362,93,1,12056.0,2,1,3,213,At Risk
363,31,4,139965.15,4,5,5,455,Loyal
365,104,1,24144.25,2,1,4,214,At Risk
366,100,1,599.25,2,1,1,211,At Risk
368,60,6,40345.7,3,5,4,354,Loyal
369,7,8,129783.50000000001,5,5,5,555,Champions
370,30,2,225173.4,4,3,5,435,Potential Loyalist
371,5,3,85210.59999999999,5,4,5,545,Champions
372,105,1,12200.0,2,1,3,213,At Risk
373,104,2,149008.4,2,3,5,235,At Risk
374,89,2,17754.4,2,3,3,233,At Risk
376,57,1,6380.0,3,1,2,312,Others
379,4,7,278724.64999999997,5,5,5,555,Champions
380,28,1,14081.85,4,1,3,413,Potential Loyalist
381,24,1,7276.5,4,1,2,412,Potential Loyalist
383,25,1,1360.4,4,1,1,411,Potential Loyalist
384,51,1,19987.2,3,1,3,313,Others
385,44,2,26248.0,4,3,4,434,Potential Loyalist
386,103,1,14172.9,2,1,3,213,At Risk
387,49,3,16389.05,4,4,3,443,Loyal
391,78,3,228094.65,3,4,5,345,Loyal
393,61,3,10432.4,3,4,3,343,Loyal
395,31,4,163023.35,4,5,5,455,Loyal
396,1,4,358790.95,5,5,5,555,Champions
397,59,2,16872.5,3,3,3,333,Others
399,42,2,36468.6,4,3,4,434,Potential Loyalist
400,5,10,101914.4,5,5,5,555,Champions
401,57,3,35219.45,3,4,4,344,Loyal
402,102,1,5976.0,2,1,2,212,At Risk
403,93,1,2214.0,2,1,1,211,At Risk
404,32,1,4768.8,4,1,2,412,Potential Loyalist
405,120,1,24896.7,1,1,4,114,At Risk
406,20,2,18581.5,5,3,3,533,Potential Loyalist
407,52,1,3801.6,3,1,2,312,Others
408,22,4,206837.8,5,5,5,555,Champions
410,142,1,13292.1,1,1,3,113,At Risk
412,59,1,8919.9,3,1,2,312,Others
413,113,2,8339.85,1,3,2,132,At Risk
414,3,1,9019.2,5,1,2,512,Potential Loyalist
415,29,7,95378.90000000001,4,5,5,455,Loyal
416,105,1,116723.2,2,1,5,215,At Risk
417,12,6,163052.7,5,5,5,555,Champions
418,36,1,65204.1,4,1,4,414,Potential Loyalist
419,16,3,153015.15,5,4,5,545,Champions
422,178,1,800.85,1,1,1,111,At Risk
424,47,1,2033.1,4,1,1,411,Potential Loyalist
426,6,1,66524.0,5,1,4,514,Potential Loyalist
427,117,2,162465.6,1,3,5,135,At Risk
428,152,1,120009.0,1,1,5,115,At Risk
432,92,1,265.2,2,1,1,211,At Risk
433,33,2,39881.4,4,3,4,434,Potential Loyalist
434,35,2,4638.45,4,3,2,432,Potential Loyalist
435,102,1,4751.9,2,1,2,212,At Risk
436,100,4,101519.20000000001,2,5,5,255,Loyal
438,104,2,2394.0,2,3,1,231,At Risk
439,176,1,60817.5,1,1,4,114,At Risk
440,72,1,3136.5,3,1,1,311,Others
441,26,2,118948.7,4,3,5,435,Potential Loyalist
442,72,1,5671.2,3,1,2,312,Others
443,31,1,8148.6,4,1,2,412,Potential Loyalist
444,18,1,3802.05,5,1,2,512,Potential Loyalist
445,163,1,984.0,1,1,1,111,At Risk
446,8,4,18655.0,5,5,3,553,Loyal
447,58,2,3706.0499999999997,3,3,2,332,Others
449,115,1,2649.6,1,1,1,111,At Risk
450,18,1,4970.7,5,1,2,512,Potential Loyalist
451,75,3,13108.65,3,4,3,343,Loyal
452,47,3,189818.85,4,4,5,445,Loyal
453,5,5,84317.5,5,5,5,555,Champions
455,102,3,53695.1,2,4,4,244,Loyal
456,51,1,781.15,3,1,1,311,Others
457,57,2,5666.05,3,3,2,332,Others
462,101,1,2566.0,2,1,1,211,At Risk
463,89,1,1484.0,2,1,1,211,At Risk
464,154,1,2730.3,1,1,1,111,At Risk
465,114,1,5244.5,1,1,2,112,At Risk
466,71,1,869.0,3,1,1,311,Others
467,27,1,3411.45,4,1,1,411,Potential Loyalist
468,106,1,142793.6,2,1,5,215,At Risk
469,58,4,13659.099999999999,3,5,3,353,Loyal
473,37,1,5788.8,4,1,2,412,Potential Loyalist
474,10,8,116894.59999999999,5,5,5,555,Champions
476,73,5,16941.899999999998,3,5,3,353,Loyal
477,14,3,58706.9,5,4,4,544,Loyal
478,106,1,3662.25,2,1,1,211,At Risk
479,152,1,6465.6,1,1,2,112,At Risk
480,105,3,8542.75,2,4,2,242,Loyal
481,60,5,158091.90000000002,3,5,5,355,Loyal
483,29,3,15857.65,4,4,3,443,Loyal
484,1,5,127502.24999999999,5,5,5,555,Champions
485,106,2,236319.0,2,3,5,235,At Risk
486,19,7,218694.25000000003,5,5,5,555,Champions
487,73,1,1315.2,3,1,1,311,Others
488,90,3,7297.6,2,4,2,242,Loyal
489,34,8,134340.6,4,5,5,455,Loyal
490,7,3,10867.7,5,4,3,543,Loyal
492,22,1,21397.6,5,1,3,513,Potential Loyalist
493,178,1,302.6,1,1,1,111,At Risk
496,61,3,86084.40000000001,3,4,5,345,Loyal
497,103,2,34980.0,2,3,4,234,At Risk
499,53,3,15838.9,3,4,3,343,Loyal
500,118,1,12488.2,1,1,3,113,At Risk
501,154,2,13454.7,1,3,3,133,At Risk
502,65,1,3780.05,3,1,2,312,Others
503,174,1,27100.8,1,1,4,114,At Risk
504,100,1,191454.3,2,1,5,215,At Risk
505,8,7,25560.8,5,5,4,554,Champions
506,8,1,4297.8,5,1,2,512,Potential Loyalist
507,158,1,15271.2,1,1,3,113,At Risk
508,52,4,199741.80000000002,3,5,5,355,Loyal
509,5,1,1473.0,5,1,1,511,Potential Loyalist
510,102,1,99320.8,2,1,5,215,At Risk
512,25,1,13254.4,4,1,3,413,Potential Loyalist
515,71,2,10772.95,3,3,3,333,Others
518,8,4,60363.6,5,5,4,554,Champions
520,174,1,5729.0,1,1,2,112,At Risk
523,2,2,2850.5,5,3,1,531,Potential Loyalist
525,6,2,171452.5,5,3,5,535,Potential Loyalist
526,107,1,11164.8,2,1,3,213,At Risk
527,16,3,81901.8,5,4,5,545,Champions
528,102,1,24089.6,2,1,4,214,At Risk
529,7,6,32544.800000000003,5,5,4,554,Champions
531,12,5,193658.0,5,5,5,555,Champions
533,168,1,19248.3,1,1,3,113,At Risk
534,105,2,10569.45,2,3,3,233,At Risk
536,13,1,579.5,5,1,1,511,Potential Loyalist
537,154,1,435.1,1,1,1,111,At Risk
538,10,2,51795.0,5,3,4,534,Potential Loyalist
539,106,2,18164.7,2,3,3,233,At Risk
540,13,2,290132.0,5,3,5,535,Potential Loyalist
542,1,7,258250.6,5,5,5,555,Champions
543,82,1,5473.9,3,1,2,312,Others
544,79,2,39580.0,3,3,4,334,Others
545,88,5,38290.85,2,5,4,254,Loyal
547,33,4,6759.05,4,5,2,452,Loyal
548,16,3,55446.65,5,4,4,544,Loyal
550,32,1,4127.4,4,1,2,412,Potential Loyalist
551,107,2,16373.3,2,3,3,233,At Risk
555,42,3,7428.35,4,4,2,442,Loyal
558,80,1,1666.0,3,1,1,311,Others
559,119,2,6655.7,1,3,2,132,At Risk
562,31,3,106997.8,4,4,5,445,Loyal
563,106,2,6815.8,2,3,2,232,At Risk
564,53,2,84748.05,3,3,5,335,Others
567,65,2,15142.0,3,3,3,333,Others
569,102,1,783.0,2,1,1,211,At Risk
571,177,1,1912.5,1,1,1,111,At Risk
572,102,1,2481.0,2,1,1,211,At Risk
573,102,2,8248.05,2,3,2,232,At Risk
576,79,2,28638.0,3,3,4,334,Others
577,93,3,13859.25,2,4,3,243,Loyal
578,38,2,13348.0,4,3,3,433,Potential Loyalist
579,67,3,196778.15,3,4,5,345,Loyal
582,24,1,16421.7,4,1,3,413,Potential Loyalist
583,103,1,90873.9,2,1,5,215,At Risk
584,59,1,4912.0,3,1,2,312,Others
585,32,2,9402.8,4,3,2,432,Potential Loyalist
586,112,1,2907.9,1,1,1,111,At Risk
592,9,5,156459.8,5,5,5,555,Champions
593,25,2,18118.5,4,3,3,433,Potential Loyalist
594,44,5,222905.9,4,5,5,455,Loyal
596,40,3,138139.9,4,4,5,445,Loyal
598,13,4,97425.1,5,5,5,555,Champions
600,29,3,8491.7,4,4,2,442,Loyal
601,108,2,14489.15,1,3,3,133,At Risk
603,103,3,10760.35,2,4,3,243,Loyal
605,176,1,1252.05,1,1,1,111,At Risk
606,73,4,25122.6,3,5,4,354,Loyal
607,55,4,6167.799999999999,3,5,2,352,Loyal
609,129,2,3772.55,1,3,2,132,At Risk
610,9,9,116389.40000000001,5,5,5,555,Champions
611,50,6,117357.75,3,5,5,355,Loyal
612,45,2,12119.4,4,3,3,433,Potential Loyalist
617,27,2,15358.5,4,3,3,433,Potential Loyalist
618,59,3,9475.45,3,4,2,342,Loyal
619,24,4,109469.09999999999,4,5,5,455,Loyal
620,96,1,1478.0,2,1,1,211,At Risk
621,34,1,35007.0,4,1,4,414,Potential Loyalist
623,136,1,1200.0,1,1,1,111,At Risk
624,14,3,23102.8,5,4,4,544,Loyal
626,84,1,1628.1,3,1,1,311,Others
627,25,1,11340.15,4,1,3,413,Potential Loyalist
628,141,1,21440.4,1,1,3,113,At Risk
630,34,1,724.8,4,1,1,411,Potential Loyalist
632,37,2,25954.949999999997,4,3,4,434,Potential Loyalist
633,5,2,1967.2,5,3,1,531,Potential Loyalist
634,102,1,73275.4,2,1,4,214,At Risk
635,103,2,37206.0,2,3,4,234,At Risk
636,67,1,226.0,3,1,1,311,Others
638,12,2,9314.95,5,3,2,532,Potential Loyalist
639,22,2,9994.8,5,3,3,533,Potential Loyalist
640,162,1,3122.65,1,1,1,111,At Risk
641,101,1,13938.0,2,1,3,213,At Risk
645,106,1,1595.2,2,1,1,211,At Risk
646,143,1,31998.85,1,1,4,114,At Risk
647,78,1,19448.4,3,1,3,313,Others
648,103,1,126156.15,2,1,5,215,At Risk
649,6,1,92046.45,5,1,5,515,Potential Loyalist
651,163,1,1983.0,1,1,1,111,At Risk
652,18,3,32644.35,5,4,4,544,Loyal
653,72,4,21454.1,3,5,3,353,Loyal
654,8,1,6245.3,5,1,2,512,Potential Loyalist
656,131,1,1721.6,1,1,1,111,At Risk
657,45,1,9804.0,4,1,2,412,Potential Loyalist
659,167,1,21269.55,1,1,3,113,At Risk
661,151,1,2471.8,1,1,1,111,At Risk
662,75,2,175533.3,3,3,5,335,Others
663,75,2,3528.25,3,3,1,331,Others
664,102,1,4200.0,2,1,2,212,At Risk
665,102,3,23088.3,2,4,4,244,Loyal
666,66,2,11116.9,3,3,3,333,Others
667,121,2,62945.2,1,3,4,134,At Risk
669,75,2,9182.5,3,3,2,332,Others
670,169,2,7171.0,1,3,2,132,At Risk
672,106,1,2730.3,2,1,1,211,At Risk
674,7,2,12767.2,5,3,3,533,Potential Loyalist
675,126,1,23199.9,1,1,4,114,At Risk
678,9,2,4582.7,5,3,2,532,Potential Loyalist
679,45,3,42371.4,4,4,4,444,Loyal
680,53,1,10194.9,3,1,3,313,Others
681,154,1,5473.9,1,1,2,112,At Risk
685,26,1,8852.4,4,1,2,412,Potential Loyalist
686,165,1,11068.45,1,1,3,113,At Risk
687,44,3,31062.600000000002,4,4,4,444,Loyal
689,37,1,7377.0,4,1,2,412,Potential Loyalist
691,65,1,999.0,3,1,1,311,Others
692,154,1,2228.0,1,1,1,111,At Risk
694,33,3,103300.79999999999,4,4,5,445,Loyal
695,108,2,14304.5,1,3,3,133,At Risk
697,27,1,2108.85,4,1,1,411,Potential Loyalist
698,22,5,129395.4,5,5,5,555,Champions
700,24,3,12094.75,4,4,3,443,Loyal
701,29,3,8261.85,4,4,2,442,Loyal
702,106,2,15773.4,2,3,3,233,At Risk
703,50,1,6902.85,3,1,2,312,Others
704,14,6,101326.09999999999,5,5,5,555,Champions
705,103,1,6194.4,2,1,2,212,At Risk
706,5,3,226609.19999999998,5,4,5,545,Champions
707,49,1,128287.95,4,1,5,415,Potential Loyalist
709,1,7,99429.95000000001,5,5,5,555,Champions
710,104,2,126049.09999999999,2,3,5,235,At Risk
711,71,1,15317.1,3,1,3,313,Others
712,91,1,2520.0,2,1,1,211,At Risk
714,27,2,215313.44999999998,4,3,5,435,Potential Loyalist
715,88,1,80954.25,2,1,5,215,At Risk
716,106,1,12436.0,2,1,3,213,At Risk
717,106,1,1564.2,2,1,1,211,At Risk
718,67,2,26421.0,3,3,4,334,Others
719,97,1,931.6,2,1,1,211,At Risk
720,117,1,2999.0,1,1,1,111,At Risk
721,5,4,29183.1,5,5,4,554,Champions
722,86,1,1423.2,3,1,1,311,Others
723,95,3,73970.0,2,4,4,244,Loyal
725,138,2,11569.1,1,3,3,133,At Risk
727,49,2,9823.6,4,3,2,432,Potential Loyalist
730,8,2,10520.599999999999,5,3,3,533,Potential Loyalist
731,124,1,16963.2,1,1,3,113,At Risk
733,142,1,13828.8,1,1,3,113,At Risk
736,40,4,32132.9,4,5,4,454,Loyal
737,44,1,4570.45,4,1,2,412,Potential Loyalist
738,102,1,1330.2,2,1,1,211,At Risk
739,30,4,30015.8,4,5,4,454,Loyal
740,104,3,11890.0,2,4,3,243,Loyal
744,74,3,130780.25,3,4,5,345,Loyal
745,7,4,9867.849999999999,5,5,2,552,Loyal
747,64,1,4990.4,3,1,2,312,Others
749,57,2,117537.29999999999,3,3,5,335,Others
750,103,2,6060.9,2,3,2,232,At Risk
751,62,3,149690.99999999997,3,4,5,345,Loyal
752,70,3,26519.2,3,4,4,344,Loyal
753,101,1,4788.0,2,1,2,212,At Risk
755,177,1,72423.0,1,1,4,114,At Risk
756,3,2,10270.650000000001,5,3,3,533,Potential Loyalist
758,106,2,20276.3,2,3,3,233,At Risk
759,47,9,130961.7,4,5,5,455,Loyal
760,64,1,25840.95,3,1,4,314,Others
761,102,1,1317.65,2,1,1,211,At Risk
762,102,2,70819.3,2,3,4,234,At Risk
763,42,2,6066.4,4,3,2,432,Potential Loyalist
765,5,1,2252.8,5,1,1,511,Potential Loyalist
769,77,4,145027.55000000002,3,5,5,355,Loyal
770,61,1,3720.8,3,1,2,312,Others
772,62,3,119490.9,3,4,5,345,Loyal
773,102,1,56258.4,2,1,4,214,At Risk
775,61,2,16164.0,3,3,3,333,Others
776,108,4,222025.30000000002,1,5,5,155,Loyal
778,141,1,10703.2,1,1,3,113,At Risk
781,102,2,5500.0,2,3,2,232,At Risk
783,8,2,81501.0,5,3,5,535,Potential Loyalist
784,178,1,72381.6,1,1,4,114,At Risk
785,154,1,2988.0,1,1,1,111,At Risk
787,42,3,175497.30000000002,4,4,5,445,Loyal
788,105,1,18545.3,2,1,3,213,At Risk
791,54,5,30696.899999999998,3,5,4,354,Loyal
792,175,2,17109.5,1,3,3,133,At Risk
794,53,2,164567.1,3,3,5,335,Others
795,14,2,9476.599999999999,5,3,2,532,Potential Loyalist
797,59,2,11092.900000000001,3,3,3,333,Others
